payment_id,booking_id,payment_method,payment_status,amount
P00000003,B00000003,Cash,Success,43.7
P00000007,B00000009,Paynow,Success,54.0
P00000008,B00000010,Visa,Success,63.58
P00000010,B00000012,Visa,Success,25.13
P00000012,B00000014,Visa,Success,28.7
P00000013,B00000015,Visa,Success,34.46
P00000014,B00000016,Paynow,Success,26.76
P00000017,B00000019,Cash,Failed,30.68
P00000018,B00000020,Cash,Success,9.47
P00000021,B00000023,Visa,Success,9.73
P00000022,B00000024,Paynow,Success,56.27
P00000023,B00000025,Mastercard,Success,32.18
P00000029,B00000031,Mastercard,Success,5.75
P00000030,B00000032,Visa,Success,34.24
P00000032,B00000034,Cash,Success,16.9
P00000033,B00000036,Cash,Failed,32.53
P00000038,B00000042,Visa,Success,7.92
P00000040,B00000044,Cash,Success,40.25
P00000042,B00000046,Visa,Success,59.69
P00000043,B00000047,Paynow,Success,15.97
P00000048,B00000052,Paynow,Success,45.89
P00000049,B00000053,Cash,Success,69.79
P00000052,B00000056,Mastercard,Success,36.61
P00000053,B00000057,Cash,Success,40.58
P00000055,B00000059,Paynow,Success,33.91
P00000059,B00000063,Visa,Success,47.54
P00000062,B00000066,Cash,Success,5.95
P00000063,B00000067,Visa,Success,28.9
P00000064,B00000069,Cash,Success,28.26
P00000065,B00000070,Visa,Success,10.39
P00000066,B00000071,Visa,Success,24.93
P00000067,B00000072,Cash,Success,41.89
P00000068,B00000073,Mastercard,Success,37.83
P00000069,B00000074,Mastercard,Success,20.97
P00000071,B00000079,Mastercard,Success,34.6
P00000072,B00000080,Paynow,Success,62.5
P00000074,B00000082,Cash,Success,53.78
P00000075,B00000084,Visa,Success,34.92
P00000076,B00000086,Cash,Success,33.7
P00000077,B00000087,Paynow,Success,31.05
P00000080,B00000090,Cash,Success,75.02
P00000081,B00000091,Cash,Success,17.4
P00000084,B00000094,Paynow,Success,40.71
P00000085,B00000095,Cash,Success,44.3
P00000087,B00000098,Cash,Success,46.79
P00000090,B00000104,Mastercard,Success,43.94
P00000092,B00000106,Paynow,Success,12.38
P00000093,B00000108,Visa,Success,51.98
P00000096,B00000112,Paynow,Success,35.19
P00000097,B00000113,Paynow,Success,15.21
P00000098,B00000114,Paynow,Success,15.14
P00000101,B00000117,Mastercard,Success,29.39
P00000105,B00000122,Mastercard,Success,23.35
P00000109,B00000126,Visa,Success,26.03
P00000110,B00000127,Paynow,Success,40.8
P00000112,B00000129,Visa,Success,26.58
P00000113,B00000130,Cash,Success,38.44
P00000114,B00000131,Cash,Success,17.3
P00000118,B00000135,Cash,Success,18.55
P00000119,B00000136,Paynow,Success,45.45
P00000120,B00000137,Visa,Success,25.42
P00000126,B00000143,Mastercard,Success,21.84
P00000128,B00000145,Visa,Success,43.7
P00000130,B00000148,Cash,Success,35.89
P00000133,B00000151,Mastercard,Success,29.2
P00000134,B00000152,Mastercard,Success,50.66
P00000136,B00000154,Cash,Success,65.38
P00000137,B00000155,Visa,Success,53.11
P00000140,B00000158,Cash,Success,14.81
P00000141,B00000159,Visa,Success,37.44
P00000142,B00000160,Cash,Success,18.82
P00000151,B00000169,Visa,Success,76.87
P00000152,B00000170,Cash,Success,73.99
P00000154,B00000173,Mastercard,Success,10.25
P00000156,B00000175,Visa,Success,36.96
P00000157,B00000176,Paynow,Success,38.0
P00000158,B00000177,Visa,Success,20.97
P00000160,B00000179,Cash,Success,44.16
P00000161,B00000180,Cash,Success,17.27
P00000162,B00000181,Paynow,Success,12.62
P00000164,B00000183,Paynow,Success,29.15
P00000167,B00000186,Paynow,Success,14.9
P00000169,B00000188,Cash,Success,59.35
P00000171,B00000190,Mastercard,Success,30.33
P00000173,B00000192,Paynow,Success,14.98
P00000175,B00000194,Paynow,Success,41.07
P00000177,B00000196,Paynow,Success,35.91
P00000178,B00000197,Visa,Success,13.36
P00000182,B00000201,Mastercard,Success,16.42
P00000183,B00000202,Visa,Success,19.32
P00000185,B00000204,Visa,Success,10.64
P00000186,B00000205,Mastercard,Success,49.15
P00000188,B00000207,Visa,Success,23.92
P00000191,B00000210,Cash,Success,66.46
P00000196,B00000216,Cash,Success,27.41
P00000197,B00000217,Paynow,Success,24.07
P00000198,B00000218,Mastercard,Success,31.56
P00000202,B00000225,Mastercard,Success,33.85
P00000204,B00000229,Mastercard,Failed,35.08
P00000205,B00000232,Paynow,Success,21.82
P00000211,B00000238,Paynow,Success,45.4
P00000212,B00000239,Paynow,Success,19.18
P00000213,B00000240,Paynow,Success,19.39
P00000223,B00000250,Cash,Success,21.91
P00000224,B00000252,Visa,Success,46.73
P00000225,B00000253,Cash,Success,12.83
P00000227,B00000255,Cash,Success,41.28
P00000228,B00000256,Cash,Success,17.33
P00000229,B00000257,Mastercard,Success,47.65
P00000230,B00000258,Paynow,Success,39.19
P00000236,B00000264,Visa,Failed,31.8
P00000243,B00000271,Mastercard,Success,33.6
P00000244,B00000272,Visa,Success,39.08
P00000246,B00000274,Mastercard,Success,42.1
P00000247,B00000275,Cash,Success,55.97
P00000248,B00000277,Paynow,Success,33.01
P00000251,B00000282,Mastercard,Success,14.7
P00000253,B00000284,Visa,Success,17.88
P00000255,B00000286,Cash,Success,33.57
P00000257,B00000288,Cash,Success,18.31
P00000259,B00000290,Visa,Success,6.95
P00000262,B00000293,Mastercard,Success,41.52
P00000265,B00000296,Cash,Success,56.69
P00000266,B00000297,Paynow,Success,8.44
P00000269,B00000300,Visa,Success,12.36
P00000270,B00000301,Paynow,Success,26.76
P00000275,B00000307,Cash,Success,29.62
P00000276,B00000308,Paynow,Success,73.1
P00000278,B00000310,Visa,Success,31.2
P00000279,B00000311,Visa,Success,18.0
P00000280,B00000312,Mastercard,Success,13.96
P00000281,B00000313,Paynow,Success,31.37
P00000282,B00000314,Mastercard,Success,23.72
P00000283,B00000315,Cash,Success,16.0
P00000284,B00000316,Paynow,Success,37.34
P00000285,B00000317,Paynow,Success,11.3
P00000287,B00000319,Cash,Success,36.27
P00000288,B00000320,Visa,Success,44.81
P00000289,B00000321,Paynow,Success,28.97
P00000290,B00000322,Mastercard,Success,32.02
P00000295,B00000327,Mastercard,Success,31.75
P00000296,B00000328,Visa,Success,20.42
P00000298,B00000330,Mastercard,Success,34.65
P00000300,B00000332,Mastercard,Success,13.85
P00000304,B00000336,Cash,Success,38.03
P00000305,B00000337,Paynow,Success,39.53
P00000306,B00000338,Cash,Success,32.87
P00000307,B00000339,Paynow,Success,12.22
P00000308,B00000340,Mastercard,Success,36.76
P00000309,B00000341,Mastercard,Success,14.47
P00000311,B00000343,Cash,Success,42.19
P00000316,B00000350,Cash,Success,7.67
