driver_id,total_trips,total_revenue,average_rating
D08445,18,774.26,2.8
D07344,23,766.5,3.7
D01118,21,756.0999999999999,2.4545454545454546
D02385,24,736.4300000000001,2.375
D09313,20,728.56,2.888888888888889
D00472,19,715.5500000000001,2.0
D07834,17,708.29,2.6666666666666665
D00296,20,704.3,3.6666666666666665
D04460,20,701.12,4.333333333333333
D09336,18,696.3999999999999,3.1666666666666665
D03141,15,680.21,1.25
D04958,21,669.46,2.4
D04424,23,664.36,3.0
D01192,22,661.25,3.25
D01993,14,661.1899999999999,3.3333333333333335
D04710,17,653.17,3.3333333333333335
D00135,20,649.61,2.6666666666666665
D09238,19,649.6,2.8
D04053,17,648.1899999999999,3.5
D01449,20,646.74,3.1666666666666665
D09051,20,646.72,3.2
D05125,18,646.1800000000001,2.2857142857142856
D07824,17,645.75,2.4285714285714284
D04201,19,643.8199999999999,2.0
D09301,15,643.26,3.6666666666666665
D05780,20,642.38,2.6666666666666665
D08084,17,637.76,3.3333333333333335
D03147,18,634.3299999999999,2.375
D07480,19,632.02,2.857142857142857
D06529,19,631.8299999999999,2.6666666666666665
D08448,20,629.0799999999999,3.0
D04537,21,627.46,2.5555555555555554
D06112,21,626.8,3.6
D01625,17,625.6600000000001,3.0
D08520,17,625.49,3.0
D09359,19,625.39,2.4
D02704,17,624.87,2.125
D00364,20,624.75,3.0
D02400,21,624.2700000000001,3.857142857142857
D03694,18,619.14,4.0
D03803,18,616.1800000000001,4.2
D08522,15,614.1,2.75
D06933,18,611.4,2.8333333333333335
D08062,18,607.8100000000001,2.8333333333333335
D05848,18,607.74,3.2
D04325,19,607.53,2.3333333333333335
D06097,16,607.24,3.0
D08442,24,605.9399999999999,2.2857142857142856
D08670,19,605.84,3.3333333333333335
D05375,17,605.43,3.0
D06459,17,605.3299999999999,3.0
D03812,15,603.54,2.8333333333333335
D02545,20,603.3900000000001,3.25
D05742,16,602.9,3.75
D09231,19,600.25,3.3333333333333335
D05328,15,600.06,4.0
D07328,16,597.65,3.3333333333333335
D06532,20,597.22,3.0
D06778,17,594.89,3.6666666666666665
D03707,16,593.65,2.6666666666666665
D08221,17,591.1600000000001,2.4285714285714284
D03973,16,590.9399999999999,2.1666666666666665
D07786,16,590.4499999999999,3.0
D09727,17,590.24,2.4
D01929,15,590.23,2.5
D01778,17,590.22,3.4
D02570,20,589.7900000000001,3.8
D00605,21,588.82,2.5
D01824,15,588.12,3.1666666666666665
D01559,18,587.53,3.0
D09672,18,586.51,1.5
D01777,11,585.6700000000001,3.0
D08384,18,582.89,4.0
D03408,16,582.67,3.1666666666666665
D09814,16,582.4399999999999,2.2222222222222223
D00752,16,581.87,3.4
D09224,15,580.4899999999999,2.2857142857142856
D00562,17,580.0400000000001,3.0
D03863,17,577.78,3.857142857142857
D05649,14,577.3700000000001,3.6666666666666665
D01826,17,577.0,3.0
D00341,15,576.9099999999999,4.0
D06520,20,576.56,2.2
D08768,18,574.86,2.8
D06852,19,574.63,3.090909090909091
D07445,18,574.61,3.2857142857142856
D04779,15,573.3299999999999,3.0
D02294,19,572.84,3.5
D03728,18,572.8199999999999,2.6666666666666665
D01968,17,572.6600000000001,3.3333333333333335
D00719,16,571.32,2.25
D08030,20,571.1700000000001,1.0
D01811,16,570.95,2.5
D07863,14,569.3299999999999,4.333333333333333
D09872,16,568.91,3.0
D06708,17,568.91,2.3333333333333335
D05870,20,568.72,3.111111111111111
D05441,19,567.33,2.8
D06056,17,567.15,3.8
D09123,16,567.08,2.4
D06628,18,567.0100000000001,2.4285714285714284
D01010,16,567.01,1.0
D06214,15,566.87,3.5
D00102,18,566.49,2.6666666666666665
D07464,15,565.6500000000001,3.0
D00691,14,565.55,2.4285714285714284
D00538,13,565.38,3.2
D03387,19,565.19,1.8
D03083,20,564.2099999999999,3.5
D01585,19,563.7800000000001,3.0
D03079,16,563.73,2.888888888888889
D09140,15,563.37,2.8
D01902,15,563.2099999999999,4.0
D07175,16,562.88,3.0
D02693,13,562.46,3.5714285714285716
D09028,17,561.43,2.4
D02253,15,561.4,2.6666666666666665
D05430,17,561.24,3.2
D09893,16,559.22,4.428571428571429
D02660,18,558.95,3.8
D02386,17,558.8499999999999,3.5555555555555554
D01930,19,558.0,3.0
D02136,17,557.9499999999999,3.142857142857143
D03080,13,557.53,2.0
D08300,17,557.43,4.0
D03021,17,556.8699999999999,2.3333333333333335
D06754,20,556.8199999999999,3.5
D03208,12,556.13,2.25
D07765,16,555.98,3.1666666666666665
D06345,17,555.9399999999999,2.0
D02865,16,555.16,2.857142857142857
D02724,15,555.12,3.0
D05629,14,554.9999999999999,3.5
D07919,18,554.77,3.5
D06344,17,554.15,4.0
D04688,17,553.74,3.3333333333333335
D00517,15,553.53,3.2857142857142856
D08457,16,552.0799999999999,3.8333333333333335
D09264,16,552.01,2.75
D07607,14,551.74,2.125
D08609,15,550.8100000000001,2.5
D04467,16,549.7,2.6666666666666665
D00934,14,549.03,2.25
D00171,15,548.8300000000002,2.5714285714285716
D09248,13,548.72,3.111111111111111
D07973,14,548.43,5.0
D04626,16,548.1800000000001,4.6
D00410,19,547.5600000000001,2.4
D08531,17,547.37,3.0
D06380,18,546.53,3.8333333333333335
D01781,19,546.35,3.0
D01821,20,546.24,1.5
D01426,12,546.23,3.3333333333333335
D03207,16,546.1999999999999,3.6
D04717,17,546.04,3.0
D01012,13,544.64,2.5
D08345,19,544.3500000000001,4.0
D09005,19,543.86,3.5
D03903,17,543.73,2.6666666666666665
D04975,15,543.53,2.7142857142857144
D08804,17,543.3900000000001,3.75
D00308,19,543.0799999999999,2.6666666666666665
D03092,16,542.98,2.75
D01613,19,542.85,3.25
D00286,14,542.63,2.75
D09948,18,542.4200000000001,3.8
D02238,16,542.23,3.3333333333333335
D09690,21,541.79,2.6
D07290,16,539.86,3.0
D07076,15,539.74,3.125
D08794,18,539.12,2.727272727272727
D02649,14,538.4300000000001,3.5
D09091,14,538.41,4.25
D05151,14,538.3499999999999,2.1666666666666665
D07565,15,538.1899999999999,3.0
D06970,16,537.59,2.2
D04186,16,537.36,2.0
D01359,16,537.2700000000001,2.7142857142857144
D08217,20,537.1400000000001,1.5
D06824,13,537.0799999999999,4.142857142857143
D06921,14,536.9300000000001,3.0
D00425,15,536.9,3.5
D02280,14,536.7,2.6666666666666665
D05931,13,536.21,1.6666666666666667
D07534,15,536.0600000000001,2.7142857142857144
D00990,12,536.0600000000001,3.2
D02055,13,536.06,2.5
D01191,19,535.99,2.75
D03788,17,535.72,3.25
D00394,20,535.03,2.375
D01350,14,534.64,2.6666666666666665
D02016,25,533.7099999999999,2.857142857142857
D06001,14,533.46,2.2
D00683,16,533.4,3.125
D01840,13,533.0,3.0
D05352,14,532.85,4.0
D06951,15,532.49,4.111111111111111
D02350,17,531.9100000000001,2.625
D06726,17,531.85,3.3333333333333335
D03509,15,531.53,3.4
D06461,17,531.48,2.6
D00884,17,531.11,3.4285714285714284
D02476,17,530.53,2.5
