trip_date,total_revenue,total_trips
2024-07-29,1939.76,65
2024-07-30,4086.8999999999996,147
2024-07-31,4102.04,137
2024-08-01,4026.679999999999,138
2024-08-02,3533.71,125
2024-08-03,3510.75,126
2024-08-04,4667.529999999999,157
2024-08-05,4578.15,170
2024-08-06,4940.79,159
2024-08-07,3675.79,123
2024-08-08,4368.08,151
2024-08-09,4066.92,151
2024-08-10,3276.71,118
2024-08-11,3280.64,118
2024-08-12,3796.4599999999996,142
2024-08-13,3896.6199999999994,144
2024-08-14,4346.43,155
2024-08-15,3934.4000000000005,143
2024-08-16,4141.31,148
2024-08-17,3885.6,133
2024-08-18,4834.229999999999,158
2024-08-19,3432.6699999999996,114
2024-08-20,3857.59,128
2024-08-21,4059.04,139
2024-08-22,4483.68,159
2024-08-23,5205.210000000001,170
2024-08-24,4792.1,156
2024-08-25,3787.5999999999995,126
2024-08-26,3928.62,140
2024-08-27,3574.91,125
2024-08-28,4577.99,159
2024-08-29,3425.97,132
2024-08-30,3751.0600000000004,131
2024-08-31,3999.2799999999997,137
2024-09-01,4124.25,153
2024-09-02,4116.66,134
2024-09-03,4026.580000000001,141
2024-09-04,4228.889999999999,145
2024-09-05,4437.259999999999,155
2024-09-06,4633.97,160
2024-09-07,3754.8199999999997,137
2024-09-08,3950.1999999999994,149
2024-09-09,3625.9000000000005,143
2024-09-10,3472.59,130
2024-09-11,4034.11,136
2024-09-12,4542.610000000001,148
2024-09-13,4618.04,155
2024-09-14,4127.879999999999,155
2024-09-15,4026.8,132
2024-09-16,4208.82,147
2024-09-17,4312.8099999999995,146
2024-09-18,3840.79,139
2024-09-19,3737.9799999999996,135
2024-09-20,4039.05,133
2024-09-21,3648.0299999999997,133
2024-09-22,3095.9300000000003,111
2024-09-23,3322.7,129
2024-09-24,3929.1,130
2024-09-25,4452.96,143
2024-09-26,4187.56,143
2024-09-27,3504.4,121
2024-09-28,4311.530000000001,135
2024-09-29,4150.660000000001,135
2024-09-30,3991.5,128
2024-10-01,4146.570000000001,152
2024-10-02,4569.720000000001,148
2024-10-03,3752.5299999999997,129
2024-10-04,4198.77,142
2024-10-05,4211.92,159
2024-10-06,3560.4500000000003,126
2024-10-07,4526.9800000000005,158
2024-10-08,3651.52,130
2024-10-09,3958.6000000000004,142
2024-10-10,3675.2200000000003,135
2024-10-11,4271.7699999999995,150
2024-10-12,3729.7300000000005,142
2024-10-13,3454.5900000000006,122
2024-10-14,4318.21,139
2024-10-15,3460.25,116
2024-10-16,3691.75,126
2024-10-17,4150.12,143
2024-10-18,3623.58,139
2024-10-19,3874.67,133
2024-10-20,3937.99,129
2024-10-21,3520.4700000000003,133
2024-10-22,4534.75,153
2024-10-23,3069.33,122
2024-10-24,4008.0300000000007,142
2024-10-25,3791.91,133
2024-10-26,3564.8900000000003,134
2024-10-27,4352.02,158
2024-10-28,4218.2300000000005,141
2024-10-29,3788.31,130
2024-10-30,4084.8499999999995,137
2024-10-31,3781.98,123
2024-11-01,4159.29,145
2024-11-02,3497.2,125
2024-11-03,3757.9400000000005,137
2024-11-04,3795.31,130
2024-11-05,4258.16,156
2024-11-06,4101.2,149
2024-11-07,3029.56,112
2024-11-08,4096.6,133
2024-11-09,3716.1700000000005,140
2024-11-10,3601.1800000000003,132
2024-11-11,3914.3599999999997,138
2024-11-12,3294.9700000000003,134
2024-11-13,3548.3399999999997,133
2024-11-14,3815.75,133
2024-11-15,3174.8799999999997,118
2024-11-16,3568.66,126
2024-11-17,3755.5400000000004,138
2024-11-18,4223.69,145
2024-11-19,4103.83,140
2024-11-20,3812.1600000000003,127
2024-11-21,3244.3100000000004,121
2024-11-22,3942.04,136
2024-11-23,4016.2599999999998,148
2024-11-24,3856.4300000000003,139
2024-11-25,4540.85,152
2024-11-26,3294.9999999999995,118
2024-11-27,4114.08,132
2024-11-28,3419.4199999999996,130
2024-11-29,4409.6900000000005,145
2024-11-30,3219.37,131
2024-12-01,4291.1900000000005,146
2024-12-02,4050.9500000000003,137
2024-12-03,4113.379999999999,147
2024-12-04,4178.4400000000005,147
2024-12-05,3791.6,141
2024-12-06,3534.4800000000005,128
2024-12-07,3418.99,123
2024-12-08,4102.67,152
2024-12-09,3715.9599999999996,135
2024-12-10,4490.97,144
2024-12-11,3750.4200000000005,136
2024-12-12,4131.17,144
2024-12-13,4213.89,138
2024-12-14,4516.62,145
2024-12-15,4323.1900000000005,143
2024-12-16,3705.48,134
2024-12-17,3832.91,132
2024-12-18,4036.97,148
2024-12-19,3776.3500000000004,133
2024-12-20,4135.499999999999,152
2024-12-21,3798.5199999999995,142
2024-12-22,3777.5,126
2024-12-23,3582.6000000000004,135
2024-12-24,3493.32,140
2024-12-25,3537.3299999999995,128
2024-12-26,3987.6000000000004,152
2024-12-27,3382.7699999999995,119
2024-12-28,3622.75,131
2024-12-29,3960.29,141
2024-12-30,3585.3400000000006,124
2024-12-31,4039.5599999999995,127
2025-01-01,4063.58,140
2025-01-02,4076.01,130
2025-01-03,3832.3799999999997,146
2025-01-04,3483.45,128
2025-01-05,3533.5499999999997,123
2025-01-06,3597.2100000000005,128
2025-01-07,3597.47,138
2025-01-08,4432.38,151
2025-01-09,4050.08,135
2025-01-10,3793.7,136
2025-01-11,3444.0,116
2025-01-12,3552.06,115
2025-01-13,3504.3399999999992,123
2025-01-14,4111.49,138
2025-01-15,4506.84,160
2025-01-16,4364.04,146
2025-01-17,4133.67,149
2025-01-18,3961.88,139
2025-01-19,4550.6,149
2025-01-20,3450.42,123
2025-01-21,4410.89,156
2025-01-22,3958.2999999999997,148
2025-01-23,3880.21,133
2025-01-24,3982.1099999999997,145
2025-01-25,3517.7599999999993,123
2025-01-26,3684.7599999999998,139
2025-01-27,4118.219999999999,148
2025-01-28,4334.44,145
2025-01-29,3822.4900000000002,133
2025-01-30,3706.67,139
2025-01-31,3861.3,142
2025-02-01,3811.5999999999995,130
2025-02-02,5012.200000000001,165
2025-02-03,3721.01,129
2025-02-04,4518.030000000001,156
2025-02-05,3957.8399999999997,136
2025-02-06,3838.15,142
2025-02-07,3603.7599999999998,132
2025-02-08,4070.78,147
2025-02-09,3386.68,118
2025-02-10,4326.91,145
2025-02-11,3898.479999999999,137
2025-02-12,4051.31,137
2025-02-13,3798.19,136
2025-02-14,3913.18,141
2025-02-15,3954.9600000000005,139
2025-02-16,4125.329999999999,145
2025-02-17,3658.0800000000004,126
2025-02-18,3185.71,119
2025-02-19,3662.04,132
2025-02-20,4009.6900000000005,130
2025-02-21,4079.0699999999997,140
2025-02-22,3416.6400000000003,131
2025-02-23,4026.7799999999997,150
2025-02-24,3836.7500000000005,124
2025-02-25,3914.6,132
2025-02-26,3782.2799999999997,139
2025-02-27,4126.870000000001,154
2025-02-28,4424.900000000001,148
2025-03-01,3753.14,139
2025-03-02,4424.92,154
2025-03-03,3293.75,113
2025-03-04,3713.95,141
2025-03-05,4008.74,135
2025-03-06,3348.66,114
2025-03-07,3716.93,130
2025-03-08,4278.9400000000005,153
