customer_id,total_trips,total_spending,average_trip_fare
C049032,9,387.51000000000005,43.05666666666667
C032702,8,357.03999999999996,51.005714285714284
C020196,8,339.54,42.4425
C045342,7,337.86,48.26571428571429
C010928,6,330.54,55.09
C024947,9,324.96,40.62
C043027,8,316.78999999999996,39.598749999999995
C026619,9,315.13,35.01444444444444
C040168,9,314.36,34.92888888888889
C043509,6,312.39,52.065
C000032,7,311.03,44.43285714285714
C022498,6,302.92,50.48666666666667
C020688,6,301.9,50.31666666666666
C038362,7,297.54,42.50571428571429
C035542,7,297.17,42.45285714285715
C026734,6,295.55999999999995,49.25999999999999
C008348,7,294.18,42.02571428571429
C025172,7,292.47,41.78142857142858
C019784,6,292.02,48.669999999999995
C011923,6,290.61,48.435
C006870,7,290.03,41.43285714285714
C022299,5,289.02,57.803999999999995
C040355,6,286.85,57.370000000000005
C012022,6,285.45000000000005,47.57500000000001
C028539,6,285.28000000000003,47.546666666666674
C017176,7,283.98,40.56857142857143
C024529,9,281.97999999999996,35.247499999999995
C017276,7,281.96000000000004,46.99333333333334
C022653,6,280.62,46.77
C031294,7,279.34000000000003,39.90571428571429
C019667,9,277.77,34.72125
C029466,8,277.18,46.196666666666665
C005296,7,273.38,39.05428571428571
C003291,5,272.14,54.428
C030902,8,270.21000000000004,38.60142857142858
C004923,9,269.63,44.93833333333333
C033195,6,269.44,44.906666666666666
C031354,6,268.98,44.830000000000005
C042350,6,267.33000000000004,44.55500000000001
C009975,8,266.80000000000007,38.11428571428572
C010977,7,266.72,38.10285714285715
C043631,7,266.7,44.449999999999996
C025164,5,266.55,53.31
C046918,7,266.43,38.06142857142857
C006519,6,265.92999999999995,44.32166666666666
C005713,6,265.8,53.160000000000004
C022175,7,264.0,37.714285714285715
C033624,5,263.98,52.79600000000001
C046577,5,263.79999999999995,52.75999999999999
C030924,6,263.67,43.945
C002999,6,263.53999999999996,43.923333333333325
C041702,7,262.97999999999996,37.568571428571424
C011195,7,262.33000000000004,37.47571428571429
C009194,7,262.06,37.43714285714286
C004341,6,261.21,43.535
C043904,9,260.82,28.98
C041314,5,260.09000000000003,52.01800000000001
C028376,7,259.96,43.32666666666666
C035644,6,259.49,43.248333333333335
C044135,6,259.1,43.18333333333334
C031372,10,258.94,25.894
C033695,6,256.33,42.721666666666664
C044689,7,255.79999999999998,36.54285714285714
C018739,9,254.31,28.256666666666668
C038969,6,253.9,42.31666666666667
C027308,8,253.26,31.6575
C000827,7,253.14000000000001,36.16285714285714
C026793,7,252.55,36.07857142857143
C018817,6,252.24,42.04
C047253,7,251.9,41.983333333333334
C032067,7,251.63,35.94714285714286
C032508,7,251.62,35.94571428571429
C008832,6,251.27,41.87833333333334
C018496,7,251.2,35.885714285714286
C043690,8,251.0,35.857142857142854
C021447,5,250.79,50.158
C040190,5,249.94,49.988
C039308,7,249.68,35.66857142857143
C030759,6,249.56,41.593333333333334
C026511,6,249.16,49.832
C038251,8,248.75000000000003,31.093750000000004
C044902,5,248.54,49.708
C007450,7,248.39999999999998,41.4
C024371,7,248.32999999999998,41.38833333333333
C007709,6,247.84,49.568
C030381,7,247.2,35.31428571428571
C003444,5,247.18,49.436
C011530,8,246.84,30.855
C020537,5,246.51,49.302
C010041,9,246.26000000000002,27.362222222222226
C007126,5,246.25000000000003,49.25000000000001
C004420,7,246.14999999999998,41.025
C004337,6,245.52999999999997,40.92166666666666
C011708,5,245.20999999999998,49.041999999999994
C014404,8,244.06,30.5075
C032668,5,243.89,48.778
C042776,4,243.75,60.9375
C036659,5,243.57000000000002,48.714000000000006
C042047,4,243.52999999999997,60.88249999999999
C039460,7,243.5,34.785714285714285
C003799,6,243.45999999999998,48.69199999999999
C007984,8,243.45,30.43125
C018670,4,243.02999999999997,60.75749999999999
C024264,8,242.89000000000001,34.698571428571434
C032565,6,242.67999999999998,48.535999999999994
C038323,6,242.25,40.375
C041908,8,241.79000000000002,34.541428571428575
C016430,6,241.46999999999997,40.245
C048824,5,241.08,48.216
C019070,8,241.05,30.13125
C047232,7,240.68,34.38285714285714
C004897,5,240.25,48.05
C040295,7,239.86,34.26571428571429
C003837,6,239.27000000000004,39.87833333333334
C048157,5,239.05,47.81
C031823,7,238.89,34.12714285714286
C003162,6,238.72,39.78666666666667
C037477,7,238.66000000000003,39.77666666666667
C023321,5,238.47000000000003,47.694
C010370,6,238.40000000000003,39.73333333333334
C008490,4,238.37,59.5925
C025096,7,238.36,34.05142857142857
C009669,5,238.35000000000002,47.67
C016811,7,238.26,34.037142857142854
C009440,5,238.21999999999997,47.64399999999999
C044862,7,238.06,34.00857142857143
C001453,7,237.87,33.98142857142857
C009174,5,237.86,47.572
C010337,6,237.48,39.58
C035186,5,237.37,47.474000000000004
C022269,5,237.29,47.458
C002692,4,236.88,59.22
C004689,5,236.76000000000002,47.352000000000004
C028380,6,236.57999999999998,39.43
C042503,6,236.57000000000002,47.31400000000001
C020279,4,236.45,59.1125
C035787,4,236.35000000000002,59.087500000000006
C013303,6,236.19,47.238
C030990,4,236.07999999999998,59.019999999999996
C010910,7,236.07999999999998,33.72571428571428
C006527,6,235.83,39.305
C029061,5,235.37,47.074
C033888,6,234.93,39.155
C011914,6,234.8,39.13333333333333
C033589,6,234.73000000000002,39.12166666666667
C041622,6,234.52,39.086666666666666
C048203,6,234.12,39.02
C029687,6,234.11,39.01833333333334
C047048,6,234.07,39.01166666666666
C028889,5,233.89,46.778
C006378,5,233.85,46.769999999999996
C000224,6,233.75,38.958333333333336
C022612,4,233.34,58.335
C022527,5,233.23000000000002,46.646
C013053,5,233.23,46.646
C039096,4,233.07,58.2675
C026607,4,232.98000000000002,58.245000000000005
C005852,5,232.85,46.57
C030111,7,232.47000000000003,38.745000000000005
C047666,5,232.38,58.095
C013773,5,232.20999999999998,46.44199999999999
C005194,6,232.13000000000002,38.68833333333334
C045475,8,231.76,38.626666666666665
C043678,6,231.57,46.314
C017181,4,231.51000000000002,57.877500000000005
C028064,4,231.48999999999998,57.872499999999995
C006462,6,231.43,46.286
C015148,8,231.1,28.8875
C008024,6,230.98000000000002,38.49666666666667
C021303,5,229.99,45.998000000000005
C022576,5,229.32999999999998,57.332499999999996
C036895,5,229.22000000000003,45.84400000000001
C024004,7,229.12,32.73142857142857
C012727,5,229.09000000000003,45.818000000000005
C001092,5,229.05,45.81
C048407,4,228.75,57.1875
C048446,6,228.67,38.111666666666665
C032102,7,228.57,38.095
C047310,5,228.53,45.706
C044007,4,228.20999999999998,57.052499999999995
C004598,7,228.18,32.597142857142856
C033600,6,228.09999999999997,38.01666666666666
C036475,8,227.89999999999998,32.55714285714286
C009753,5,227.72,45.544
C011672,8,227.69,32.527142857142856
C015547,6,227.63,37.93833333333333
C038321,4,227.44,56.86
C012649,5,227.42000000000002,45.484
C024920,4,227.38,56.845
C015449,7,227.24,32.462857142857146
C037438,6,227.23000000000002,37.87166666666667
C033385,6,226.92000000000002,45.384
C022589,6,226.91,37.818333333333335
C014434,6,226.85000000000002,37.80833333333334
C001922,6,226.75,37.791666666666664
C013582,7,226.66,37.776666666666664
C033009,5,226.61999999999998,45.324
C001594,6,225.92,37.65333333333333
C006127,5,225.19,45.038
C028684,6,225.10000000000002,37.51666666666667
C008404,7,225.07999999999998,32.15428571428571
C005167,5,224.9,44.980000000000004
C036308,8,224.89999999999998,32.128571428571426
C041072,5,224.89000000000001,44.978
C004282,7,224.89,32.12714285714286
C016646,5,224.89,44.977999999999994
C002413,4,224.81000000000003,56.20250000000001
C042955,5,224.75,44.95
C037879,8,224.51,37.41833333333333
C002084,7,224.45999999999998,32.065714285714286
C030487,6,224.45,37.40833333333333
C022268,6,224.31,37.385
C043220,6,224.13,37.355
C013747,4,224.01,56.0025
C018594,6,223.89000000000001,44.778000000000006
C038515,4,223.81,55.9525
C045089,4,223.8,55.95
C028573,5,223.79999999999998,44.76
C016547,4,223.5,55.875
C028580,6,223.13,37.18833333333333
C040912,6,223.08999999999997,37.181666666666665
C018043,7,223.06,31.865714285714287
C032337,6,222.75,44.55
C024621,5,222.57999999999998,44.516
C046912,5,222.55,44.510000000000005
C026045,6,222.45,37.074999999999996
C020941,6,222.24,37.04
C032692,6,222.21,37.035000000000004
C004887,4,222.15,55.5375
C034392,5,222.04,44.408
C007660,6,221.57,36.928333333333335
C020001,5,221.34,44.268
C048301,5,221.25,44.25
C047512,7,221.24,36.873333333333335
C023358,4,221.21,55.3025
C041990,5,220.81,44.162
C014075,5,220.79999999999998,55.199999999999996
C035655,6,220.74,36.79
C010082,7,220.74,31.534285714285716
C026495,7,220.72,36.78666666666667
C024557,7,220.67,31.524285714285714
C021884,4,220.45999999999998,55.114999999999995
C000445,6,220.42000000000002,44.084
C035820,5,220.25,44.05
C003018,6,220.23,36.705
C021712,5,220.20000000000002,44.040000000000006
C003991,6,220.19,44.038
C034085,6,219.81,36.635
C038417,4,219.70999999999998,54.927499999999995
C045869,5,219.53999999999996,43.907999999999994
C038723,4,219.51,54.8775
C032423,6,219.45999999999998,36.57666666666666
C023518,7,219.33,31.332857142857144
C021830,6,219.27999999999997,36.54666666666666
C009979,3,218.81,72.93666666666667
C049454,6,218.75,36.458333333333336
C002497,4,218.57,54.6425
C029618,5,218.49,43.698
C036502,7,218.33999999999997,31.191428571428567
C047891,7,218.26000000000002,36.37666666666667
C009318,5,218.23000000000002,43.646
C035312,5,218.02999999999997,54.50749999999999
C011370,7,217.96,31.13714285714286
C032215,6,217.94,36.32333333333333
C022146,7,217.79000000000002,31.112857142857145
C043763,7,217.79,36.29833333333333
C024212,5,217.61,43.522000000000006
C033480,6,217.56,36.26
C022195,7,217.32,36.22
C017756,7,217.29,31.041428571428572
C041518,6,217.12,36.18666666666667
C017655,3,217.07999999999998,72.36
C037707,6,216.63,36.105
C010033,7,216.58999999999997,36.09833333333333
C008495,4,216.23999999999998,54.059999999999995
C026646,4,216.07999999999998,54.019999999999996
C044458,5,215.98000000000002,43.196000000000005
C029774,5,215.85999999999999,43.172
C040889,6,215.66,43.132
C008653,5,215.41000000000003,53.852500000000006
C046211,6,215.32,35.88666666666666
C028478,5,215.13,43.025999999999996
C011594,4,215.01999999999998,53.754999999999995
C036480,6,214.90999999999997,35.81833333333333
C042948,7,214.71,35.785000000000004
C011951,6,214.66999999999996,35.77833333333333
C040965,6,214.43,35.73833333333334
C036751,3,214.32,71.44
C009480,6,214.12,35.68666666666667
C036923,5,213.73,42.745999999999995
C042380,6,213.7,42.739999999999995
C035590,5,213.69,42.738
C014083,6,213.66,42.732
C004840,5,213.59000000000003,42.718
C030173,6,213.51,42.702
C046374,4,213.50000000000003,53.37500000000001
C042756,7,213.38,30.482857142857142
C029003,5,213.34,42.668
C044750,7,213.19,30.455714285714286
C014592,4,213.01999999999998,53.254999999999995
C024146,6,212.99,42.598
C012796,5,212.85,42.57
C034654,6,212.77999999999997,42.556
C000800,5,212.57,42.513999999999996
C038154,5,212.41,42.482
C031008,4,212.2,53.05
C035449,5,212.15,42.43
C032891,5,212.0,42.4
C012048,5,211.99999999999997,42.39999999999999
C020692,5,211.91000000000003,42.382000000000005
C040118,6,211.89999999999998,35.31666666666666
C031129,5,211.79,42.358
C021281,4,211.76,52.94
C037313,5,211.76,42.352
C040503,6,211.54,35.25666666666667
C009940,4,211.49,52.8725
C013918,7,211.45999999999998,35.24333333333333
C035836,6,211.43,42.286
C005256,3,211.39999999999998,70.46666666666665
C037591,5,211.32999999999998,42.266
C010227,6,211.22,35.20333333333333
C003567,6,211.17000000000002,42.234
C041359,5,211.05,42.21
C022690,5,211.04,42.208
C040501,6,210.97,42.194
C030372,6,210.83,35.138333333333335
C000254,5,210.82999999999998,42.166
C034943,5,210.56,42.112
C022486,6,210.4,42.08
C047222,6,210.4,35.06666666666667
C001412,5,210.26,42.052
C036738,5,210.26,42.052
C006204,5,210.10999999999999,42.022
C022036,5,210.03000000000003,42.00600000000001
C042186,5,209.97,41.994
C037974,5,209.89,41.977999999999994
C027500,6,209.72,41.944
C013527,6,209.64999999999998,41.92999999999999
C011786,6,209.60999999999999,34.934999999999995
C024045,5,209.60000000000002,52.400000000000006
C040436,5,209.51,41.902
C031045,6,209.42000000000002,34.903333333333336
C026290,5,209.29,52.3225
C000100,6,209.25,34.875
C036935,5,209.25,41.85
C024419,6,209.25,34.875
C049277,5,209.13,41.826
C031522,4,209.12,52.28
C022260,6,209.12,34.85333333333333
C011245,9,208.96999999999997,26.121249999999996
C029360,4,208.94,52.235
C003516,4,208.89,69.63
C042939,7,208.87,29.83857142857143
C043398,4,208.78,52.195
C031323,6,208.72,34.78666666666667
C049836,4,208.7,52.175
C037315,4,208.47000000000003,52.11750000000001
C026200,5,208.46,41.692
C044456,5,208.43,41.686
C004306,4,208.39,52.0975
C028646,6,208.26,34.71
C006705,6,207.91,34.651666666666664
C035006,4,207.80999999999997,51.95249999999999
C014286,7,207.74,29.677142857142858
C009094,4,207.69,51.9225
C028512,7,207.67000000000002,34.61166666666667
C008623,5,207.67000000000002,41.534000000000006
C031187,5,207.52,41.504000000000005
C020646,5,207.51999999999998,41.504
C004443,5,207.44,41.488
C009171,5,207.32999999999998,41.465999999999994
C031369,6,207.31,34.55166666666667
C031997,7,207.22,41.444
C011973,5,207.12,41.424
C021369,6,207.08,34.513333333333335
C018913,5,207.02999999999997,41.40599999999999
C042270,6,206.96,34.49333333333333
C043689,7,206.95999999999998,29.565714285714282
C010140,6,206.76999999999998,34.461666666666666
C034166,5,206.74,41.348
C045949,5,206.66,41.332
C040708,5,206.51,41.302
C035651,5,206.39,41.278
C031401,5,206.31,41.262
C043410,6,206.26000000000002,34.37666666666667
C047061,5,206.12,41.224000000000004
C041060,4,205.96,51.49
C008095,5,205.92,41.184
C046433,6,205.88,34.31333333333333
C004205,5,205.84,41.168
C034991,6,205.81,41.162
C025877,6,205.68,34.28
C032554,3,205.59000000000003,68.53000000000002
C049626,4,205.55,51.3875
C031688,5,205.47,51.3675
C018226,7,205.19000000000003,34.19833333333334
C046385,5,205.13,41.025999999999996
C037723,7,204.96,29.28
C008247,6,204.94,40.988
C049473,5,204.93,40.986000000000004
C037800,6,204.76999999999998,34.12833333333333
C040696,5,204.66,40.932
