payment_id,booking_id,payment_method,payment_status,amount
P00000003,B00000005,PayNow,Success,36.42
P00000007,B00000009,Mastercard,Success,27.07
P00000008,B00000010,PayNow,Success,35.68
P00000010,B00000012,Mastercard,Success,74.09
P00000012,B00000014,Cash,Success,24.12
P00000013,B00000015,Mastercard,Success,74.88
P00000014,B00000016,Mastercard,Success,43.66
P00000017,B00000020,PayNow,Success,40.97
P00000018,B00000021,Visa,Success,58.78
P00000021,B00000025,Mastercard,Success,12.07
P00000022,B00000026,Cash,Success,9.68
P00000023,B00000027,Mastercard,Success,33.6
P00000029,B00000033,Cash,Success,39.15
P00000030,B00000034,Cash,Success,32.59
P00000032,B00000036,PayNow,Success,19.38
P00000033,B00000037,Mastercard,Success,25.3
P00000038,B00000044,Cash,Success,8.4
P00000040,B00000049,PayNow,Success,15.52
P00000042,B00000052,PayNow,Success,11.76
P00000043,B00000053,PayNow,Success,22.59
P00000048,B00000058,PayNow,Success,43.92
P00000049,B00000059,Mastercard,Success,32.39
P00000052,B00000062,Mastercard,Success,18.26
P00000053,B00000063,Mastercard,Success,9.83
P00000055,B00000065,Mastercard,Failed,47.83
P00000059,B00000069,Visa,Success,25.52
P00000062,B00000072,Visa,Success,44.01
P00000063,B00000073,Visa,Success,26.29
P00000064,B00000074,Mastercard,Success,15.46
P00000065,B00000075,PayNow,Failed,29.65
P00000066,B00000076,PayNow,Success,39.73
P00000067,B00000077,Mastercard,Failed,14.64
P00000068,B00000078,Cash,Success,28.33
P00000069,B00000079,Visa,Success,48.44
P00000071,B00000081,Cash,Success,21.66
P00000072,B00000082,PayNow,Success,69.5
P00000074,B00000085,Cash,Success,22.72
P00000075,B00000087,Mastercard,Success,21.67
P00000076,B00000088,Cash,Success,67.39
P00000077,B00000089,Mastercard,Success,41.67
P00000080,B00000093,Visa,Success,48.74
P00000081,B00000094,Visa,Success,43.79
P00000084,B00000097,Cash,Success,25.76
P00000085,B00000098,Cash,Success,37.25
P00000087,B00000100,PayNow,Success,9.55
P00000090,B00000105,Cash,Success,16.15
P00000092,B00000107,Cash,Success,35.06
P00000093,B00000108,Mastercard,Success,55.61
P00000096,B00000111,Mastercard,Success,27.54
P00000097,B00000112,Visa,Success,14.98
P00000098,B00000113,Visa,Success,45.01
P00000101,B00000116,Mastercard,Success,21.99
P00000105,B00000120,Visa,Success,44.42
P00000109,B00000124,Visa,Success,30.65
P00000110,B00000125,PayNow,Success,64.18
P00000112,B00000128,Mastercard,Success,13.66
P00000113,B00000129,Cash,Success,47.02
P00000114,B00000130,Cash,Success,43.03
P00000118,B00000134,Visa,Success,37.2
P00000119,B00000135,Cash,Success,37.4
P00000120,B00000136,Cash,Success,62.04
P00000126,B00000142,Visa,Success,29.56
P00000128,B00000144,PayNow,Success,33.5
P00000130,B00000146,Cash,Success,77.16
P00000133,B00000149,Cash,Success,21.37
P00000134,B00000150,PayNow,Success,69.5
P00000136,B00000152,PayNow,Success,38.52
P00000137,B00000153,Mastercard,Success,75.07
P00000140,B00000156,Mastercard,Success,44.68
P00000141,B00000157,Mastercard,Success,11.66
P00000142,B00000158,Mastercard,Success,33.98
P00000151,B00000170,Mastercard,Success,14.35
P00000152,B00000171,Mastercard,Success,13.72
P00000154,B00000173,Visa,Success,36.77
P00000156,B00000175,Visa,Success,44.64
P00000157,B00000176,Mastercard,Success,13.72
P00000158,B00000177,Visa,Success,14.0
P00000160,B00000180,Visa,Success,57.38
P00000161,B00000181,PayNow,Success,51.53
P00000162,B00000183,Visa,Success,24.03
P00000164,B00000185,Visa,Success,39.17
P00000167,B00000190,Visa,Success,18.68
P00000169,B00000194,Cash,Success,21.04
P00000171,B00000196,PayNow,Success,45.95
P00000173,B00000198,Cash,Success,33.14
P00000175,B00000200,Mastercard,Success,7.64
P00000177,B00000203,PayNow,Success,60.55
P00000178,B00000204,Cash,Success,27.32
P00000182,B00000209,Cash,Success,18.14
P00000183,B00000210,Mastercard,Success,71.95
P00000185,B00000212,Mastercard,Success,31.02
P00000186,B00000213,Cash,Success,34.15
P00000188,B00000215,PayNow,Success,28.49
P00000191,B00000218,Mastercard,Success,33.1
P00000196,B00000224,Visa,Success,57.2
P00000197,B00000225,Visa,Success,33.03
P00000198,B00000226,PayNow,Success,53.02
P00000202,B00000230,Visa,Success,50.47
P00000204,B00000232,Mastercard,Success,27.14
P00000205,B00000233,PayNow,Failed,24.41
P00000211,B00000241,Cash,Success,51.86
P00000212,B00000242,Visa,Failed,32.66
P00000213,B00000243,Visa,Success,15.62
