trip_date,total_revenue,total_trips
2024-07-29,2725.5499999999997,99
2024-07-30,3957.6800000000003,126
2024-07-31,3598.3900000000003,137
2024-08-01,4174.64,147
2024-08-02,3790.2299999999996,130
2024-08-03,3692.21,121
2024-08-04,4258.749999999999,142
2024-08-05,3477.6200000000003,129
2024-08-06,3679.870000000001,135
2024-08-07,3961.6000000000013,155
2024-08-08,3423.19,122
2024-08-09,3622.1400000000003,140
2024-08-10,4316.369999999999,157
2024-08-11,4122.45,147
2024-08-12,4021.49,144
2024-08-13,3866.7099999999996,137
2024-08-14,4684.49,159
2024-08-15,3805.75,128
2024-08-16,3837.08,144
2024-08-17,4788.35,153
2024-08-18,4263.63,153
2024-08-19,3451.5999999999995,128
2024-08-20,4874.9299999999985,172
2024-08-21,3325.05,117
2024-08-22,3451.289999999999,128
2024-08-23,3850.55,138
2024-08-24,3844.9700000000003,127
2024-08-25,3919.5299999999997,139
2024-08-26,3188.98,114
2024-08-27,3647.8100000000004,123
2024-08-28,4075.6099999999997,143
2024-08-29,3939.4499999999994,138
2024-08-30,3842.5999999999995,140
2024-08-31,3777.63,126
2024-09-01,4003.2799999999997,132
2024-09-02,3937.0199999999995,138
2024-09-03,4288.5,149
2024-09-04,3892.84,134
2024-09-05,4088.3900000000003,142
2024-09-06,3561.2999999999993,133
2024-09-07,3550.7499999999995,128
2024-09-08,4986.8,172
2024-09-09,4080.4100000000008,130
2024-09-10,3675.39,139
2024-09-11,4327.210000000001,137
2024-09-12,4257.5599999999995,152
2024-09-13,3720.2499999999995,134
2024-09-14,4156.530000000001,149
2024-09-15,3363.8400000000006,129
2024-09-16,3934.3500000000004,146
2024-09-17,4019.5600000000004,137
2024-09-18,3979.16,150
2024-09-19,3348.1900000000005,125
2024-09-20,3586.3099999999995,131
2024-09-21,3563.649999999999,127
2024-09-22,4118.61,141
2024-09-23,3119.4900000000007,112
2024-09-24,3435.759999999999,128
2024-09-25,3415.68,121
2024-09-26,3291.0599999999995,122
2024-09-27,2738.6799999999994,113
2024-09-28,4085.9899999999993,145
2024-09-29,3398.27,125
2024-09-30,3166.88,111
2024-10-01,4620.66,146
2024-10-02,3697.89,140
2024-10-03,4531.91,155
2024-10-04,3384.0299999999997,135
2024-10-05,4233.9,141
2024-10-06,4148.34,140
2024-10-07,4045.1299999999997,131
2024-10-08,4196.94,153
2024-10-09,3668.8199999999997,134
2024-10-10,4208.4,147
2024-10-11,3568.6600000000008,137
2024-10-12,3754.4700000000007,127
2024-10-13,3693.2700000000004,134
2024-10-14,3652.62,132
2024-10-15,4187.22,138
2024-10-16,3833.9700000000003,157
2024-10-17,3421.8999999999996,114
2024-10-18,4047.05,148
2024-10-19,4181.990000000001,151
2024-10-20,4113.740000000001,144
2024-10-21,4085.0499999999993,142
2024-10-22,3347.57,110
2024-10-23,3688.4799999999996,128
2024-10-24,3871.3100000000004,138
2024-10-25,3960.27,129
2024-10-26,4234.41,144
2024-10-27,3818.02,136
2024-10-28,3571.3599999999997,134
2024-10-29,3790.620000000001,153
2024-10-30,3686.29,128
2024-10-31,3768.48,130
2024-11-01,3760.499999999999,124
2024-11-02,4056.52,138
2024-11-03,3849.5899999999997,135
2024-11-04,4310.73,143
2024-11-05,3993.7799999999997,148
2024-11-06,3578.8300000000004,128
2024-11-07,4108.99,132
2024-11-08,3910.419999999999,134
2024-11-09,4507.650000000001,155
2024-11-10,4009.4699999999993,146
2024-11-11,4051.1800000000003,134
2024-11-12,4240.579999999999,159
2024-11-13,3985.3100000000004,137
2024-11-14,4487.910000000001,155
2024-11-15,3405.0099999999998,131
2024-11-16,4393.670000000001,150
2024-11-17,3814.3700000000003,141
2024-11-18,3644.0699999999993,122
2024-11-19,4268.53,146
2024-11-20,3862.49,151
2024-11-21,4238.18,141
2024-11-22,3018.59,120
2024-11-23,4599.080000000001,136
2024-11-24,4458.71,161
2024-11-25,3428.029999999999,122
2024-11-26,4031.7899999999995,141
2024-11-27,3729.9600000000005,128
2024-11-28,3550.1800000000007,128
2024-11-29,4138.9,146
2024-11-30,3775.37,131
2024-12-01,4508.59,163
2024-12-02,4207.509999999999,141
2024-12-03,3632.449999999999,132
2024-12-04,4095.3900000000003,148
2024-12-05,3843.0799999999995,131
2024-12-06,3804.91,132
2024-12-07,3554.0900000000006,134
2024-12-08,3942.75,133
2024-12-09,3545.21,127
2024-12-10,4814.1900000000005,163
2024-12-11,2973.79,120
2024-12-12,3400.3899999999994,122
2024-12-13,3257.0699999999997,107
2024-12-14,3793.8,136
2024-12-15,3866.09,139
2024-12-16,3905.9000000000005,136
2024-12-17,3908.7,143
2024-12-18,4035.289999999999,141
2024-12-19,3446.2700000000004,135
2024-12-20,3464.32,122
2024-12-21,3784.74,146
2024-12-22,3867.27,134
2024-12-23,4034.7599999999993,148
2024-12-24,4177.23,160
2024-12-25,3429.5000000000005,130
2024-12-26,5262.24,172
2024-12-27,3047.26,113
2024-12-28,4634.489999999999,162
2024-12-29,4112.03,143
2024-12-30,4371.63,151
2024-12-31,3765.5,137
2025-01-01,3400.140000000001,122
2025-01-02,4196.14,134
2025-01-03,3788.200000000001,135
2025-01-04,3623.05,125
2025-01-05,4464.629999999999,149
2025-01-06,4629.869999999999,160
2025-01-07,4283.46,154
2025-01-08,4343.72,147
2025-01-09,4691.879999999999,162
2025-01-10,3621.460000000001,130
2025-01-11,3871.0,136
2025-01-12,4312.99,149
2025-01-13,3922.58,128
2025-01-14,4335.2300000000005,141
2025-01-15,3105.38,118
2025-01-16,4717.620000000001,143
2025-01-17,3890.94,134
2025-01-18,3494.05,130
2025-01-19,3801.11,118
2025-01-20,3877.59,142
2025-01-21,3254.42,115
2025-01-22,3675.340000000001,130
2025-01-23,4492.540000000001,148
2025-01-24,3708.0599999999995,140
2025-01-25,3471.6299999999997,127
2025-01-26,3544.68,121
2025-01-27,4216.990000000001,148
2025-01-28,4628.82,158
2025-01-29,4204.3,136
2025-01-30,3894.4999999999995,137
2025-01-31,4661.95,150
2025-02-01,4464.25,149
2025-02-02,3282.7299999999996,127
2025-02-03,3595.35,117
2025-02-04,3731.3900000000003,132
2025-02-05,3789.6500000000005,127
2025-02-06,3597.6899999999996,130
2025-02-07,3815.62,130
2025-02-08,4334.9800000000005,147
2025-02-09,3256.6699999999996,124
2025-02-10,3966.9699999999993,130
2025-02-11,3892.0100000000016,143
2025-02-12,3566.86,126
2025-02-13,3912.0999999999995,134
2025-02-14,4362.18,154
2025-02-15,4085.539999999999,146
2025-02-16,3700.3600000000006,128
2025-02-17,3423.2000000000007,120
2025-02-18,3780.8000000000006,139
2025-02-19,3808.89,140
2025-02-20,3630.58,133
2025-02-21,3610.6499999999996,127
2025-02-22,3935.350000000001,135
2025-02-23,4321.9800000000005,144
2025-02-24,4102.51,134
2025-02-25,3613.580000000001,131
2025-02-26,3577.419999999999,134
2025-02-27,4226.6900000000005,137
2025-02-28,4333.48,157
2025-03-01,3691.2,122
2025-03-02,3727.6099999999997,125
2025-03-03,4259.92,149
2025-03-04,3604.3700000000003,132
2025-03-05,4187.39,143
2025-03-06,3643.4799999999996,132
2025-03-07,3376.3599999999997,114
2025-03-08,3809.0199999999995,127
2025-03-09,4661.2699999999995,166
2025-03-10,4067.499999999999,131
2025-03-11,4409.14,144
2025-03-12,3858.4500000000003,136
2025-03-13,3275.0,116
2025-03-14,3935.0600000000004,152
2025-03-15,3699.2299999999987,131
2025-03-16,4663.159999999999,151
2025-03-17,4026.16,148
2025-03-18,4105.900000000001,149
2025-03-19,4126.499999999999,142
2025-03-20,3794.45,130
2025-03-21,3498.7500000000005,130
2025-03-22,3667.74,126
2025-03-23,3650.7199999999993,137
2025-03-24,4147.9,152
2025-03-25,4488.08,150
2025-03-26,3649.8099999999995,135
2025-03-27,3927.4599999999996,127
2025-03-28,4692.180000000001,166
2025-03-29,3467.1600000000008,116
2025-03-30,4154.210000000001,134
2025-03-31,3653.1400000000012,127
2025-04-01,3259.62,124
2025-04-02,3891.98,142
2025-04-03,3667.87,126
2025-04-04,3181.5699999999997,113
2025-04-05,3729.6799999999994,132
2025-04-06,4253.8,154
2025-04-07,3867.4200000000005,127
2025-04-08,4356.2300000000005,148
2025-04-09,3572.9500000000007,129
2025-04-10,3933.649999999999,140
2025-04-11,3407.350000000001,130
2025-04-12,4209.52,149
2025-04-13,3733.6899999999996,139
2025-04-14,3775.1399999999994,142
2025-04-15,3588.6199999999994,142
2025-04-16,3758.71,148
2025-04-17,3263.36,121
2025-04-18,4105.66,143
2025-04-19,4457.99,146
2025-04-20,4177.59,147
2025-04-21,3501.6600000000003,127
2025-04-22,4174.530000000001,147
2025-04-23,4263.06,150
2025-04-24,3548.520000000001,134
2025-04-25,4091.7299999999996,142
2025-04-26,4038.85,150
2025-04-27,4294.280000000001,145
2025-04-28,4217.8,149
2025-04-29,4232.21,143
2025-04-30,4221.669999999999,140
2025-05-01,3927.78,130
2025-05-02,3687.829999999999,128
2025-05-03,3285.960000000001,121
2025-05-04,3580.1700000000005,123
2025-05-05,2922.58,106
2025-05-06,4194.280000000001,146
2025-05-07,3632.840000000001,128
2025-05-08,3977.4399999999996,138
2025-05-09,3631.639999999999,141
2025-05-10,4269.5599999999995,157
2025-05-11,3766.21,141
2025-05-12,3054.1099999999997,123
2025-05-13,3810.6499999999996,145
2025-05-14,4546.829999999999,151
2025-05-15,3031.57,112
2025-05-16,3729.6899999999996,122
2025-05-17,3298.1900000000005,126
2025-05-18,3632.29,138
2025-05-19,4134.03,158
2025-05-20,3885.79,133
2025-05-21,4805.79,150
2025-05-22,4381.7699999999995,169
2025-05-23,4266.089999999999,150
2025-05-24,4153.69,135
2025-05-25,3376.5699999999997,139
2025-05-26,4410.24,145
2025-05-27,4158.719999999999,141
2025-05-28,3997.2200000000003,140
2025-05-29,3918.9900000000002,133
2025-05-30,3838.4399999999996,123
2025-05-31,3858.4800000000005,136
2025-06-01,3916.5500000000006,135
2025-06-02,4122.539999999999,138
2025-06-03,3809.8999999999996,143
2025-06-04,4626.83,153
2025-06-05,3259.9700000000003,111
2025-06-06,3313.92,129
2025-06-07,3665.1700000000005,127
2025-06-08,4008.9300000000007,152
2025-06-09,4210.360000000001,153
2025-06-10,3493.0399999999995,120
2025-06-11,3471.9699999999993,126
2025-06-12,4290.92,149
2025-06-13,4007.5800000000004,133
2025-06-14,3668.6400000000003,136
2025-06-15,3581.7299999999987,124
2025-06-16,4229.59,147
2025-06-17,3517.5699999999997,143
2025-06-18,3679.12,140
2025-06-19,3854.7399999999993,136
2025-06-20,4717.36,152
2025-06-21,4294.27,145
2025-06-22,3582.8199999999997,135
2025-06-23,3828.1100000000006,143
2025-06-24,3852.3199999999997,142
2025-06-25,4079.1799999999994,138
2025-06-26,4313.3099999999995,144
2025-06-27,3710.319999999999,129
2025-06-28,3769.9999999999995,128
2025-06-29,3961.78,142
2025-06-30,3648.28,124
2025-07-01,4208.820000000001,146
2025-07-02,4308.31,160
2025-07-03,3548.36,127
2025-07-04,3338.5000000000005,111
2025-07-05,4584.25,149
